Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german
perkBoomstickRank2LongDesc,progression, perk Str,,,"Roaming the wastelands as a nomad have improved your abilities with shotguns. Deal 20% more damage, 20% faster fire rate, and 15% faster reload.\n Increases chance to dismember by 10%. Craft quality 3 pipe shotguns. \n Ask an Armorer to craft better shotguns for you.",,"Durch das Ödland als Nomade zu streifen, hat deine Fähigkeiten mit Schrotflinten verbessert. Verursache 20 % mehr Schaden, 20 % schnellere Feuerrate und 15 % schnelleres Nachladen.\n Erhöht die Chance auf Zerstückelung um 10 %. 3-Rohr-Schrotflinten in Handwerksqualität. \ nBitten Sie einen Waffenschmied, bessere Schrotflinten für Sie herzustellen."
perkBoomstickRank3LongDesc,progression, perk Str,,,"If shotgun meets were still a thing, you'd be hitting those clay ducks and be considered a shotgun pro. Deal 30% more damage, 30% faster fire rate, and 20% faster reload. Stun enemies for 8 seconds. Craft quality 4 pipe shotguns. \n Ask an Armorer to craft better shotguns for you.",,"Wenn Schrotflintentreffer noch eine Sache wären, würdest du diese Lehmenten treffen und als Schrotflintenprofi gelten. Verursache 30 % mehr Schaden, 30 % schnellere Feuerrate und 20 % schnelleres Nachladen. Betäube Feinde für 8 Sekunden. Stellen Sie hochwertige 4-Rohr-Schrotflinten her. \n Bitten Sie einen Waffenschmied, bessere Schrotflinten für Sie herzustellen."
perkBoomstickRank4LongDesc,progression, perk Str,,,"You are now very deadly with a shotgun and considered a shotgun master and master of the shotgun. Deal 40% more damage, 40% faster fire rate, and 25% faster reload. Craft quality 5 pipe shotguns. \n Ask an Armorer to craft better shotguns for you.",,"Du bist jetzt sehr tödlich mit einer Schrotflinte und gilt als Schrotflintenmeister und Meister der Schrotflinte. Verursache 40 % mehr Schaden, 40 % schnellere Feuerrate und 25 % schnelleres Nachladen. Stelle 5-Rohr-Schrotflinten in Qualität her. \n Frage einen Waffenschmied um bessere Schrotflinten für dich herzustellen."
perkPummelPeteRank1LongDesc,progression,perk Str,,,"You might not pack a punch but as a roughneck you can swing a club! Deal 10% more damage and attacks do 40% more damage to stunned enemies. Power attacks have a 60% chance to knock foes back down. Craft quality 2 wooden clubs. \n Ask an Armorer to craft better clubs or baseball bats for you.",,"Du kannst zwar nicht schlagen, aber als Raufbold kannst du eine Keule schwingen! Fügt 10 % mehr Schaden zu und Angriffe verursachen 40 % mehr Schaden an betäubten Gegnern. Kraftangriffe haben eine Chance von 60 %, Gegner wieder zu Boden zu werfen. Handwerkliche Qualität 2 Holzschläger. \n Bitte einen Waffenschmied, bessere Schläger oder Baseballschläger für dich herzustellen."
perkPummelPeteRank2LongDesc,progression,perk Str,,,"You are making a name for yourself as a dangerous thug. Deal 20% more damage, attacks do 80% more damage to stunned enemies and power attacks have a 70% chance to knock foes back down. Craft quality 3 wooden clubs. \n Ask an Armorer to craft better clubs or baseball bats for you.",,"Du machst dir einen Namen als gefährlicher Schläger. Füge 20 % mehr Schaden zu, Angriffe richten 80 % mehr Schaden an betäubten Gegnern an und Power-Angriffe haben eine 70 %ige Chance, Gegner wieder niederzuschlagen. Handwerkliche Qualität 3 Holzkeulen. \n Bitten Sie einen Waffenschmied, bessere Schläger oder Baseballschläger für Sie herzustellen."
perkPummelPeteRank3LongDesc,progression,perk Str,,,"You hit hard enough to be in the big leagues now. Deal 30% more damage, attacks do 120% more damage to stunned enemies and power attacks have a 80% chance to knock foes back down. \n Landing 5 successive hits in a short time causes the last blow to do 100% extra damage. Craft quality 4 wooden clubs. \n Ask an Armorer to craft better clubs or baseball bats for you.",,"Du triffst hart genug, um jetzt in den großen Ligen zu spielen. Füge 30 % mehr Schaden zu, Angriffe verursachen 120 % mehr Schaden an betäubten Feinden und Power-Angriffe haben eine Chance von 80 %, Gegner wieder zu Boden zu werfen. \n Lande 5 aufeinanderfolgende Treffer eine kurze Zeit bewirkt, dass der letzte Schlag 100 % zusätzlichen Schaden anrichtet. Stelle 4 hochwertige Holzschläger her. \n Bitte einen Waffenschmied, bessere Schläger oder Baseballschläger für dich herzustellen."
perkPummelPeteRank4LongDesc,progression,perk Str,,,"When you said stay down you meant it. Deal 40% more damage, attacks do 160% more damage to stunned enemies and power attacks have a 90% chance to knock foes back down.\n 4 successive hits in a short time causes the last blow to do 100% extra damage. Craft quality 5 wooden clubs. \n Ask an Armorer to craft better clubs or baseball bats for you.",,"Wenn du gesagt hast, bleib unten, hast du es ernst gemeint. Füge 40 % mehr Schaden zu, Angriffe richten 160 % mehr Schaden an betäubten Feinden an und Kraftangriffe haben eine Chance von 90 %, Feinde wieder zu Boden zu werfen.\n 4 aufeinanderfolgende Treffer in kurzer Zeit verursachen der letzte Schlag, der 100 % zusätzlichen Schaden anrichtet. Stelle 5 hochwertige Holzschläger her. \n Bitte einen Waffenschmied, bessere Schläger oder Baseballschläger für dich herzustellen."
perkSkullCrusherRank1LongDesc,progression,perk Str,,,You are a bruiser and with a little luck can sometimes knock down geriatric zombies. Deal 10% more damage. 15% chance to knock down enemies with power attacks. Craft quality 2 stone sledgehammers. \n Ask an Armorer to craft better sledgehammers for you.",,"Wenn du gesagt hast, bleib unten, hast du es ernst gemeint. Füge 40 % mehr Schaden zu, Angriffe richten 160 % mehr Schaden an betäubten Feinden an und Kraftangriffe haben eine Chance von 90 %, Feinde wieder zu Boden zu werfen.\n 4 aufeinanderfolgende Treffer in kurzer Zeit verursachen der letzte Schlag, der 100 % zusätzlichen Schaden anrichtet. Stelle 5 hochwertige Holzschläger her. \n Bitte einen Waffenschmied, bessere Schläger oder Baseballschläger für dich herzustellen."
perkSkullCrusherRank2LongDesc,progression,perk Str,,,"You are now a mauler but don't get too cocky yet. Deal 20% more damage. 30% chance to knock down enemies with power attacks. Craft quality 3 stone sledgehammers. \n Ask an Armorer to craft better sledgehammers for you.",,"Du bist jetzt ein Mauler, aber werde noch nicht zu übermütig. Verursache 20 % mehr Schaden. 30 % Chance, Feinde mit Power-Attacken niederzuschlagen. Stelle hochwertige 3-Stein-Vorschlaghämmer her. \n Bitte einen Waffenschmied, bessere Vorschlaghämmer für dich herzustellen ."
perkSkullCrusherRank3LongDesc,progression,perk Str,,,"You are a certified smasher of things that get in your way. Deal 30% more damage. Power attacks have a 45% chance to knock down enemies and a 20% chance to knock down nearby foes. Craft quality 4 stone sledgehammers. \n Ask an Armorer to craft better sledgehammers for you.",,"Du bist ein zertifizierter Zerstörer von Dingen, die sich dir in den Weg stellen. Verursache 30 % mehr Schaden. Kraftangriffe haben eine Chance von 45 %, Feinde niederzuschlagen, und eine Chance von 20 %, Gegner in der Nähe niederzuschlagen. Fertige hochwertige 4-Stein-Vorschlaghämmer. \n Bitte einen Waffenschmied, bessere Vorschlaghämmer für dich herzustellen."
perkSkullCrusherRank4LongDesc,progression,perk Str,,,"You have nearly perfected the craft of smashing stuff and breaking bones. CDeal 40% more damage. Power attacks have a 60% chance to knock down enemies and a 35% chance to knock down nearby foes. Craft quality 5 stone sledgehammers. \n Ask an Armorer to craft better sledgehammers for you.",,"Du hast das Handwerk des Zertrümmerns von Gegenständen und des Brechens von Knochen nahezu perfektioniert. C Verursache 40 % mehr Schaden. Kraftangriffe haben eine Chance von 60 %, Feinde niederzuschlagen, und eine Chance von 35 %, Gegner in der Nähe niederzuschlagen. Fertige 5-Stein-Vorschlaghämmer in Handwerksqualität. \n Bitte einen Waffenschmied, bessere Vorschlaghämmer für dich herzustellen."
perkBrawlerRank1LongDesc,progression,perk For,,,"Tired of being bullied by the undead? Zombies can't bite if you knock their damn teeth out! Deal 10% more damage with fists. Punches to the head negate infection ability.  \n Ask an Armorer to craft knuckle weapons for you.",,"Haben Sie es satt, von Untoten gemobbt zu werden? Zombies können nicht beißen, wenn Sie ihnen die verdammten Zähne ausschlagen! Verursachen Sie 10 % mehr Schaden mit Fäusten. Schläge auf den Kopf heben die Infektionsfähigkeit auf. \n Bitten Sie einen Waffenschmied, Knöchelwaffen für Sie herzustellen ."
perkBrawlerRank2LongDesc,progression,perk For,,,"You've been in a few fights and can hold your own. Deal 20% more damage with fists and have a 30% chance to stagger opponents with power attacks. \n Ask an Armorer to craft knuckle weapons for you.",,"You've been in a few fights and can hold your own. Deal 20% more damage with fists and have a 30% chance to stagger opponents with power attacks. \n Ask an Armorer to craft knuckle weapons for you."
perkBrawlerRank3LongDesc,progression,perk For,,,"All the fighting and scrapping has added up and you are a real slugger now. Deal 30% more damage with fists. Power attacks to the head have a 20% chance to knock down your opponent. \n Ask an Armorer to craft knuckle weapons for you.",,"All das Kämpfen und Verschrotten hat sich summiert und du bist jetzt ein echter Schläger. Verursache 30 % mehr Schaden mit Fäusten. Kraftangriffe auf den Kopf haben eine Chance von 20 %, deinen Gegner niederzuschlagen. \n Bitte einen Waffenschmied, Knöchel herzustellen Waffen für dich."
perkBrawlerRank4LongDesc,progression,perk For,,,"You are now good enough to compete in professional boxing but smashing zombies faces in will have to do. Deal 40% more damage with fists. Power attacks to the head have a 30% chance to knock down your opponent. \n Ask an Armorer to craft knuckle weapons for you.",,"Du bist jetzt gut genug, um im Profiboxen anzutreten, aber Zombies ins Gesicht zu hauen, muss reichen. Verursache 40 % mehr Schaden mit Fäusten. Kraftangriffe auf den Kopf haben eine 30 %ige Chance, deinen Gegner niederzuschlagen. \n Frag an Waffenschmied, um Knöchelwaffen für dich herzustellen."
perkMachineGunnerRank1LongDesc,progression,perk For,,,"Spray and Pray is your thing. Deal 10% more damage, 5% faster fire rate and 10% faster reload. Craft quality 2 pipe machine guns. \n Ask an Armorer to craft better machine guns for you.",,"Spray and Pray ist dein Ding. Verursache 10 % mehr Schaden, 5 % schnellere Feuerrate und 10 % schnelleres Nachladen. Stelle hochwertige 2-Rohr-Maschinengewehre her. \n Bitte einen Waffenschmied, bessere Maschinengewehre für dich herzustellen."
perkMachineGunnerRank2LongDesc,progression,perk For,,,"You are no commando, but you do what it takes to get the job done. Deal 20% more damage, 10% faster fire rate and 15% faster reload. Craft quality 3 pipe machine guns. \n Ask an Armorer to craft better machine guns for you.",,"Du bist kein Kommando, aber du tust, was nötig ist, um die Arbeit zu erledigen. Verursache 20 % mehr Schaden, 10 % schnellere Feuerrate und 15 % schnelleres Nachladen. Baue hochwertige 3-Rohr-Maschinengewehre. \n Bitte einen Waffenschmied um die Herstellung Bessere Maschinengewehre für dich."
perkMachineGunnerRank3LongDesc,progression,perk For,,,"All the combat has sharpened your skills and you are now a soldier. Deal 30% more damage, 15% faster fire rate and reload 20% faster. Commando Adrenaline: Each shot scored with automatic weapons gives you 2 stamina. Craft quality 4 pipe machine guns. \n Ask an Armorer to craft better machine guns for you.",,"Der ganze Kampf hat deine Fähigkeiten geschärft und du bist jetzt ein Soldat. Verursache 30 % mehr Schaden, 15 % schnellere Feuerrate und 20 % schnelleres Nachladen. Kommando-Adrenalin: Jeder mit automatischen Waffen erzielte Schuss gibt dir 2 Ausdauer. Handwerkliche Qualität 4-Rohr-Maschinengewehre. \n Bitten Sie einen Waffenschmied, bessere Maschinengewehre für Sie herzustellen."
perkMachineGunnerRank4LongDesc,progression,perk For,,,"Your skill now matches the special forces. Deal 40% more damage, 20% faster fire rate and reload 25% faster. Commando Adrenaline: Each shot scored with automatic weapons gives you 4 stamina. Craft quality 5 pipe machine guns. \n Ask an Armorer to craft better machine guns for you.",,"Deine Fähigkeiten entsprechen jetzt denen der Spezialeinheiten. Verursache 40 % mehr Schaden, 20 % schnellere Feuerrate und 25 % schnelleres Nachladen. Kommando-Adrenalin: Jeder mit automatischen Waffen erzielte Schuss gibt dir 4 Ausdauer. 5-Rohr-Maschinengewehre in Handwerksqualität. \ nBitten Sie einen Waffenschmied, bessere Maschinengewehre für Sie herzustellen."
perkArcheryRank1LongDesc,progression,perk Agi,,,"Many start on the path of the ranger but few can reach it. Deal 10% more damage, 10% faster aim, draw and reload with bows. Craft quality 2 primitive bows. \n Ask an Armorer to craft better bows or crossbows for you.",,"Viele beginnen auf dem Weg des Waldläufers, aber nur wenige können ihn erreichen. Verursache 10 % mehr Schaden, ziele 10 % schneller, ziehe und lade mit Bögen nach. Stelle primitive Bögen in Qualität 2 her. \n Bitte einen Waffenschmied, bessere Bögen oder Armbrüste herzustellen für dich."
perkArcheryRank2LongDesc,progression,perk Agi,,,"You still have much to learn, grasshopper. Deal 20% more damage, 20% faster aim, draw and reload with bows. Craft quality 3 primitive bows. \n Ask an Armorer to craft better bows or crossbows for you.",,"Du musst noch viel lernen, Heuschrecke. Verursache 20 % mehr Schaden, ziele 20 % schneller, ziehe und lade mit Bögen nach. Stelle 3 primitive Bögen in Qualität her. \n Bitte einen Waffenschmied, bessere Bögen oder Armbrüste für dich herzustellen."
perkArcheryRank3LongDesc,progression,perk Agi,,,"All the rigorous training has turned you into a marksman with Bows. Deal 30% more damage, 30% faster aim, draw and reload with bows. Craft quality 4 primitive bows. \n Ask an Armorer to craft better bows or crossbows for you.",,"All das rigorose Training hat dich zu einem Schützen mit Bögen gemacht. Verursache 30 % mehr Schaden, ziele 30 % schneller, ziehe und lade mit Bögen nach. Stelle 4 primitive Bögen in Qualität her. \n Bitte einen Waffenschmied, bessere Bögen oder Armbrüste herzustellen Sie."
perkArcheryRank4LongDesc,progression,perk Agi,,,"You can split a hair you are so good at archery now. Deal 40% more damage, 40% faster aim, draw and reload with bows. Craft quality 5 primitive bows. \n Ask an Armorer to craft better bows or crossbows for you.",,"Du kannst ein Haar spalten, du bist jetzt so gut im Bogenschießen. Verursache 40 % mehr Schaden, ziele 40 % schneller, ziehe und lade mit Bögen nach. Stelle 5 primitive Bögen in Qualität her. \n Bitte einen Waffenschmied, bessere Bögen oder Armbrüste herzustellen Sie."
perkGunslingerRank1LongDesc,progression,perk Agi,,,"You're no Wyatt Earp but you're better than the average drifter. Deal 10% more damage, 5% faster fire rate, and 10% faster reload with handguns. Craft quality 2 pipe pistols. \n Ask an Armorer to craft better handguns for you.",,"Du bist kein Wyatt Earp, aber besser als der durchschnittliche Herumtreiber. Verursache 10 % mehr Schaden, 5 % schnellere Feuerrate und 10 % schnelleres Nachladen mit Handfeuerwaffen. Baue hochwertige 2-Rohr-Pistolen. \n Bitte einen Waffenschmied darum bessere Handfeuerwaffen für dich herstellen."
perkGunslingerRank2LongDesc,progression,perk Agi,,,"You are making a name for yourself, outlaw. Deal 20% more damage, 10% faster fire rate, and reload 15% faster with handguns. Craft quality 3 pipe pistols. \n Ask an Armorer to craft better handguns for you.",,"Du machst dir einen Namen, Gesetzloser. Verursache 20 % mehr Schaden, 10 % schnellere Feuerrate und 15 % schnelleres Nachladen mit Handfeuerwaffen. Stelle hochwertige 3-Rohr-Pistolen her. \n Bitte einen Waffenschmied, bessere Handfeuerwaffen für dich herzustellen. "
perkGunslingerRank3LongDesc,progression,perk Agi,,,"You can keep most situations under control, sheriff. Deal 30% more damage, 15% faster fire rate, and reload 20% faster. Critical Damage: 5 successive hits in a short time cause critical damage. Craft quality 4 pipe pistols. \n Ask an Armorer to craft better handguns for you.",,"Sie können die meisten Situationen unter Kontrolle halten, Sheriff. Verursachen Sie 30 % mehr Schaden, 15 % schnellere Feuerrate und 20 % schnelleres Nachladen. Kritischer Schaden: 5 aufeinanderfolgende Treffer in kurzer Zeit verursachen kritischen Schaden. 4-Rohr-Pistolen in Handwerksqualität . \n Bitten Sie einen Waffenschmied, bessere Handfeuerwaffen für Sie herzustellen."
perkGunslingerRank4LongDesc,progression,perk Agi,,,"You're now a gunfighter and can clear out a saloon full of rowdy bastards at the drop of a hat. Deal 40% more damage, 20% faster fire rate, and reload 25% faster. Critical Damage: 4 successive hits in a short time cause the last shot to do 100% extra damage. Craft quality 5 pipe pistols. \n Ask an Armorer to craft better handguns for you.",,"Du bist jetzt ein Revolverheld und kannst im Handumdrehen einen Saloon voller rüpelhafter Bastarde ausräumen. Verursache 40 % mehr Schaden, 20 % schnellere Feuerrate und 25 % schnelleres Nachladen. Kritischer Schaden: 4 aufeinanderfolgende Treffer in kurzer Zeit verursachen, dass der letzte Schuss 100 % zusätzlichen Schaden verursacht. Stellen Sie hochwertige 5-Rohr-Pistolen her. \n Bitten Sie einen Waffenschmied, bessere Handfeuerwaffen für Sie herzustellen."
perkDeepCutsRank1LongDesc,progression,perk Agi,,,"You might have a dull blade but you know how to use it. Deal 10% more damage. You can inflict up to 3 Bleeding Wounds on an enemy and a power attack inflicts 2. Every attack refreshes the duration on bleeding. Enemies run 10% slower while bleeding. Craft quality 2 bone knives. \n Ask an Armorer to craft better bladed weapons for you.",,"Du hast vielleicht eine stumpfe Klinge, aber du weißt, wie man sie benutzt. Verursache 10 % mehr Schaden. Du kannst einem Feind bis zu 3 blutende Wunden zufügen und ein Kraftangriff fügt 2 zu. Jeder Angriff erneuert die Dauer der Blutung. Feinde renne 10 % langsamer, während es blutet. Stelle 2 hochwertige Knochenmesser her. \n Bitte einen Waffenschmied, bessere Klingenwaffen für dich herzustellen."
perkDeepCutsRank2LongDesc,progression,perk Agi,,,"Your friends say you're a real knifer. Deal 20% more damage. You can inflict up to 4 Bleeding Wounds on an enemy and a power attack inflicts 3. Craft quality 3 bone knives. \n Ask an Armorer to craft better bladed weapons for you.",,"Deine Freunde sagen, du bist ein echter Messerschmied. Füge 20 % mehr Schaden zu. Du kannst einem Feind bis zu 4 blutende Wunden zufügen und ein Kraftangriff verursacht 3. Knochenmesser in Handwerksqualität 3. \n Bitte einen Waffenschmied, besser zu fertigen Klingenwaffen für dich."
perkDeepCutsRank3LongDesc,progression,perk Agi,,,"You are a cut above the rest. Deal 30% more damage. You can inflict up to 5 Bleeding Wounds on an enemy and a power attack inflicts 4. Glancing blows have a 40% chance to cause 1 Bleeding Wound. Enemies run 15% slower while bleeding. Craft quality 4 bone knives. \n Ask an Armorer to craft better bladed weapons for you.",,"Du bist den anderen einen Schritt voraus. Verursache 30 % mehr Schaden. Du kannst einem Feind bis zu 5 blutende Wunden zufügen und ein Kraftangriff fügt 4 zu. Streifhieb hat eine Chance von 40 %, 1 blutende Wunde zu verursachen. Feinde rennen davon 15 % langsamer beim Bluten. Stelle hochwertige 4 Knochenmesser her. \n Bitte einen Waffenschmied, bessere Klingenwaffen für dich herzustellen."
perkDeepCutsRank4LongDesc,progression,perk Agi,,,"You are quite lethal with bladed weapons. Deal 40% more damage. You can inflict up to 6 Bleeding Wounds on an enemy and a power attack inflicts 4. Glancing blows have a 70% chance to cause 1 Bleeding Wound. Craft quality 5 bone knives. \n Ask an Armorer to craft better bladed weapons for you.",,"Du bist mit Klingenwaffen ziemlich tödlich. Verursache 40 % mehr Schaden. Du kannst einem Feind bis zu 6 blutende Wunden zufügen, und ein Kraftangriff fügt 4 zu. Streifhieb hat eine Chance von 70 %, 1 blutende Wunde zu verursachen. Handwerksqualität 5 Knochenmesser. \n Bitte einen Waffenschmied, bessere Klingenwaffen für dich herzustellen."
perkElectrocutionerRank1LongDesc,progression,perk Int,,,"Where are the instructions? You're smart, but remember to point it away from you and pull the trigger. Deal 10% more damage and stun victims 20% longer. Craft quality 2 pipe batons. \n Ask an Armorer to craft stun batons for you.",,"Wo sind die Anweisungen? Du bist schlau, aber denk daran, es von dir weg zu richten und den Abzug zu betätigen. Füge 10 % mehr Schaden zu und betäube Opfer 20 % länger. Stelle hochwertige 2-Rohr-Schlagstöcke her. \n Bitte einen Waffenschmied um die Herstellung Betäubungsstäbe für dich."
perkElectrocutionerRank2LongDesc,progression,perk Int,,,"You are getting the hang of using stun batons to incapacitate your enemies. Deal 20% more damage, and stun victim 40% longer. Craft quality 3 pipe batons. \n Ask an Armorer to craft stun batons for you.",,"Du hast den Dreh raus, Betäubungsstäbe zu verwenden, um deine Feinde außer Gefecht zu setzen. Verursache 20 % mehr Schaden und betäube das Opfer 40 % länger. Stelle hochwertige 3-Rohr-Schlagstöcke her. \n Bitte einen Waffenschmied, Betäubungsstäbe für dich herzustellen."
perkElectrocutionerRank3LongDesc,progression,perk Int,,,"You are getting dangerous with stun batons. You could probably knock out cattle if the zombies hadn't ate them all. Deal 30% more damage, and stun victims 60% longer.  Craft quality 4 pipe batons. \n Ask an Armorer to craft stun batons for you.",,"Du wirst mit Betäubungsstäben gefährlich. Du könntest wahrscheinlich Rinder KO hauen, wenn die Zombies sie nicht alle gefressen hätten. Verursache 30 % mehr Schaden und betäube Opfer 60 % länger. Stelle hochwertige 4-Rohr-Schlagstöcke her. \n Frage einen Waffenschmied um Betäubungsstöcke für dich herzustellen."
perkElectrocutionerRank4LongDesc,progression,perk Int,,,"You are lethal with stun batons. Deal 40% more damage, and stun victims 80% longer. Craft quality 5 pipe batons. \n Ask an Armorer to craft stun batons for you.",,"Mit Betäubungsstäben sind Sie tödlich. Verursachen Sie 40 % mehr Schaden und betäuben Sie Opfer 80 % länger. Stellen Sie hochwertige 5-Rohr-Schlagstöcke her. \n Bitten Sie einen Waffenschmied, Betäubungsstäbe für Sie herzustellen."
perkParkourRank4LongDesc,progression,perk Agi,,,"You are now a parkour master and can navigate difficult situations easily. Reduce stamina cost of jumping by 40%. Increase safe fall distance by 5 meters, can jump 2 meters higher, and never get a sprained or broken leg when falling. Ask a Mechanic to craft a pair of Powerizer boots to take your parkouring to the next level!",,"Sie sind jetzt ein Parkour-Meister und können schwierige Situationen leicht meistern. Reduzieren Sie die Ausdauerkosten beim Springen um 40 %. Erhöhen Sie die sichere Falldistanz um 5 Meter, können Sie 2 Meter höher springen und bekommen Sie beim Fallen nie ein verstauchtes oder gebrochenes Bein. Bitten Sie einen Mechaniker, ein Paar Powerizer-Stiefel herzustellen, um Ihr Parkouring auf die nächste Stufe zu bringen!
perkLockPickingRank1LongDesc,progression,perk Per,,,Burglar. You are starting to make a name for yourself. You can pick locks 20% faster and have a 10% lower chance to break lockpicks.,,Einbrecher. Du fängst an, dir einen Namen zu machen. Sie können Schlösser 20 % schneller knacken und haben eine 10 % geringere Chance, Dietriche zu brechen.
perkEnforcerIntimidationLongDesc,progression,perk  book,,,Intimidation: Tired of getting overrun by punk zombies? Watch them run from you when you reload your .44 gun 10% faster.,,Einschüchterung: Sind Sie es leid, von Punk-Zombies überrannt zu werden? Beobachten Sie, wie sie vor Ihnen davonlaufen, wenn Sie Ihre .44-Waffe 10 % schneller nachladen.
apparelCigar,items,Clothes,,,Cigar,,Zigarre
apparelCigarDesc,items,Clothes,,,Look intimidating and become extra strong!,,Sieh einschüchternd aus und werde extra stark!

plantedCropsGroupDesc,blocks,Farming,,,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n \n When harvested, there is a 65% chance to get a seed back for replanting.",,"Pflanze diese Samen auf einem herstellbaren Farmplot-Block, um Pflanzen anzubauen, die du ernten kannst.\n \n Nach der Ernte besteht eine Chance von 65 %, einen Samen zum Wiedereinpflanzen zurückzuerhalten."

perkBatterUpBaseballBatsDesc,,,,,"Craft the Baseball Cap Helmet Mod.",,"Erstelle den Baseballkappen-Helm-Mod."
perkBatterUpBaseballBatsLongDesc,,,,,"Shield your eyes from the sun no matter what helmet you are wearing. Learn to craft the Baseball Cap Helmet Mod.",,"Schütze deine Augen vor der Sonne, egal welchen Helm du trägst. Lerne, den Baseballmützen-Helm-Mod herzustellen."
perkSpearHunter3SteelSpearsDesc,,,,,"Craft the Burning Shaft Weapon Mod.",,"Stelle den Burning Shaft Weapon Mod her."
perkSpearHunter3SteelSpearsLongDesc,,,,,"Enough flailing in the darkness. Craft the Burning Shaft Weapon Mod and enter the era of Fire.",,"Genug in der Dunkelheit herumgewirbelt. Fertige den Burning Shaft Weapon Mod und betrete das Zeitalter des Feuers."
perkAutoWeaponsMachineGunsDesc,,,,,"Craft the Weapon Flashlight Mod.",,"Stelle den Waffen-Taschenlampen-Mod her."
perkAutoWeaponsMachineGunsLongDesc,,,,,"Don't suck after bedtime. Craft the Weapon Flashlight Mod.",,"Schlucke nicht nach dem Schlafengehen. Stelle den Waffen-Taschenlampen-Mod her."
perkUrbanCombatLandingDesc,,,,,"Craft the Impact Bracing Boots Mod.",,"Stelle den Aufprall-Verstärkungsstiefel-Mod her."
perkUrbanCombatLandingLongDesc,,,,,"Make landing on your feet even more appealing. Craft the Impact Bracing Boots Mod.",,"Machen Sie das Landen auf Ihren Füßen noch attraktiver. Stellen Sie den Aufprall-Verstärkungsstiefel-Mod her."
perkArtOfMiningPalletsDesc,progression,perk  book,,,"You can craft a Diving Mask for underwater breathing.",,"Du kannst eine Tauchermaske zum Atmen unter Wasser herstellen."
perkArtOfMiningPalletsLongDesc,progression,perk  book,,,"In a zombie apocalypse, cave diving seems much less unappealing.\n \n You can craft a Diving Mask for underwater breathing.",,"In einer Zombie-Apokalypse scheint Höhlentauchen viel weniger unattraktiv zu sein.\n \n Du kannst eine Tauchermaske zum Atmen unter Wasser herstellen."

foodPumpkinCheesecakeDesc,items,Food,,,"This pumpkin cheesecake tastes delicious and grants you a beer buzz buff!",,"Dieser Kürbis-Käsekuchen schmeckt köstlich und verleiht dir einen Bier-Buzz-Buff!"


attITAVRank01Desc,progression,Attribute,,,No fucks given,,Scheiß drauf
attITAVRank01LongDesc,progression,Attribute,,,"Reduces light armor movement penalty by 15% and stamina penalty by 10%. For heavy armor, reduction for both is 5%.",,"Verringert die Bewegungsstrafe bei leichter Rüstung um 15 % und die Ausdauerstrafe um 10 %. Bei schwerer Rüstung beträgt die Reduzierung für beide 5 %."
attITAVRank02Desc,progression,Attribute,,,Indifferent,,Gleichgültig
attITAVRank02LongDesc,progression,Attribute,,,"Reduces light armor movement penalty by 30% and stamina penalty by 20%. For heavy armor, reduction for both is 10%.",,"Verringert die Bewegungsstrafe bei leichter Rüstung um 30 % und die Ausdauerstrafe um 20 %. Bei schwerer Rüstung beträgt die Reduzierung für beide 10 %."
attITAVRank03Desc,progression,Attribute,,,Blasé,,Blasiert
attITAVRank03LongDesc,progression,Attribute,,,"Reduces light armor movement penalty by 50% and stamina penalty by 35%. For heavy armor, reduction for both is 17%.",,"Verringert die Bewegungseinbuße bei leichter Rüstung um 50 % und die Ausdauereinbuße um 35 %. Bei schwerer Rüstung beträgt die Reduzierung für beide 17 %."
attITAVRank04Desc,progression,Attribute,,,Curious,,Neugierig
attITAVRank04LongDesc,progression,Attribute,,,"Reduces light armor movement penalty by 75% and stamina penalty by 50%. For heavy armor, reduction for both is 25%.",,"Verringert die Bewegungsstrafe bei leichter Rüstung um 75 % und die Ausdauerstrafe um 50 %. Bei schwerer Rüstung beträgt die Reduzierung für beide 25 %."
attITAVRank05Desc,progression,Attribute,,,Into it,,Hinein
attITAVRank05LongDesc,progression,Attribute,,,"Medical healing items heal 25% more health over time.",,"Medizinische Heilgegenstände heilen mit der Zeit 25 % mehr Gesundheit."
attITAVRank06Desc,progression,Attribute,,,Invested,,Investiert
attITAVRank06LongDesc,progression,Attribute,,,"Medical healing items heal 40% more health over time. Adds 5% to loot bonus for containers that you open personally. Looting is 10% faster.",,"Medizinische Heilgegenstände heilen im Laufe der Zeit 40 % mehr Gesundheit. Fügt 5 % zum Beutebonus für Container hinzu, die Sie persönlich öffnen. Das Plündern ist 10 % schneller."
attITAVRank07Desc,progression,Attribute,,,Steadfast,,Standhaft
attITAVRank07LongDesc,progression,Attribute,,,"Medical healing items heal 55% more health over time. Adds 10% to loot bonus for containers that you open personally. Looting is 20% faster.",,"Medizinische Heilgegenstände heilen im Laufe der Zeit 55 % mehr Gesundheit. Fügt 10 % zum Beutebonus für Behälter hinzu, die Sie persönlich öffnen. Das Plündern ist 20 % schneller."
attITAVRank08Desc,progression,Attribute,,,Dedicated,,Gewidmet
